number,person,from,to
13,"Groom, LE",16.11.1917,16.11.1917
13,"Watt, WA",17.2.1917,10.1.1918
13,"Glynn, PMcM",17.2.1917,10.1.1918
13,"Jensen, JA",17.2.1917,10.1.1918
13,"Webster, W",17.2.1917,10.1.1918
13,"Russell, Senator EJ",17.2.1917,10.1.1918
14,"Hughes, WM",10.1.1918,9.2.1923
14,"Groom, LE",21.12.1921,16.11.1917
14,"Cook, J",10.1.1918,11.11.1921
14,"Smith, WHL",28.7.1920,28.7.1920
14,"Forrest, J",10.1.1918,27.3.1918
14,"Watt, WA",27.3.1918,17.1.1919
14,"Bruce, SM",21.12.1921,9.2.1923
14,"Pearce, Senator GF",10.1.1918,9.2.1923
14,"Millen, Senator ED",10.1.1918,9.2.1923
14,"Foster, RW",21.12.1921,9.2.1923
14,"Glynn, PMcM",10.1.1918,3.2.1920
14,"Poynton, A",4.2.1920,4.2.1920
14,"Jensen, JA",10.1.1918,13.12.1918
14,"Massy-Greene, W",17.1.1919,5.2.1923
14,"Rodgers, AS",21.12.1921,21.12.1921
14,"Webster, W",10.1.1918,3.2.1920
14,"Wise, GH",4.2.1920,4.2.1920
14,"Russell, Senator EJ",27.3.1918,17.1.1919
14,"Earle, Senator J",21.12.1921,5.2.1923
14,"Orchard, RB",27.3.1918,31.1.1919
14,"Ryrie, GdeL",4.2.1920,21.12.1921
14,"Lamond, H",21.12.1921,9.2.1923
15,"Bruce, SM",9.2.1923,24.2.1928
15,"Page, ECG (CP)",9.2.1923,22.10.1929
15,"Pearce, Senator GF",9.2.1923,22.10.1929
15,"Glasgow, Senator TW",18.6.1926,22.10.1929
15,"Marr, CWC",2.4.1927,22.10.1929
15,"Howse, NR",24.2.1928,24.2.1928
15,"Abbott, CLA (CP)",29.11.1928,22.10.1929
15,"Groom, LE",9.2.1923,13.6.1924
15,"Latham, JG",18.12.1925,22.10.1929
15,"Gibson, WG (CP)",9.2.1923,22.10.1929
15,"Chapman, A",9.2.1923,26.5.1924
15,"Pratten, HE",13.6.1924,16.1.1925
15,"Gullett, HS",24.11.1928,22.10.1929
15,"Stewart, PG (CP)",9.2.1923,5.8.1924
15,"Hill, WC (CP)",8.8.1924,29.11.1928
15,"Bowden, EK",9.2.1923,16.1.1925
15,"Wilson, Senator RV",16.1.1925,16.1.1925
15,"Paterson, T (CP)",18.6.1926,22.10.1929
15,"Atkinson, L",9.2.1923,18.6.1926
15,"Crawford, Senator TW",14.2.1923,29.11.1928
15,"McLachlan, Senator AJ",29.8.1926,22.10.1929
15,"Ogden, Senator JE",29.11.1928,22.10.1929
16,"Scullin, JH",22.10.1929,29.1.1931
16,"Theodore, EG",22.10.1929,6.1.1932
16,"Daly, Senator JJ",22.10.1929,6.1.1932
16,"Brennan, F",22.10.1929,6.1.1932
16,"Lyons, JA",22.10.1929,4.2.1931
16,"Green, AE",4.2.1931,4.2.1931
16,"Fenton, JE",22.10.1929,4.2.1931
16,"Forde, FM",4.2.1931,4.2.1931
16,"Blakeley, A",22.10.1929,6.1.1932
16,"Anstey, F",22.10.1929,3.3.1931
16,"McNeill, J",3.3.1931,6.1.1932
16,"Chifley, JB",3.3.1931,6.1.1932
16,"Moloney, PJ",22.10.1929,6.1.1932
16,"Culley, CE",3.3.1931,24.6.1931
