number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
18,Lyons Ministry,UAP-CP Coalition,7.11.1938,7.4.1939,"MacDonald, Senator AN",7.11.1938,7.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Page, ECG (CP)",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Hughes, WM",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Casey, RG",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Thorby, HVC (CP)",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Perkins, JA",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Street, GA",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"McEwen, J (CP)",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"McLeay, Senator G",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Foll, Senator HS",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Cameron, AG (CP)",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Harrison, EJ",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"Thompson, VC (CP)",7.4.1939,26.4.1939
19,Page Ministry ,CP-UAP Coalition,7.4.1939,26.4.1939,"MacDonald, Senator AN",7.4.1939,26.4.1939
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Menzies, RG",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Hughes, WM",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Casey, RG",26.4.1939,26.1.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Stewart, FH",26.1.1940,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Street, GA",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Gullett, HS",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"McLeay, Senator G",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Foll, Senator HS",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Harrison, EJ",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Lawson, JN",26.4.1939,23.2.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Fairbairn, JV",13.11.1939Ê,26.1.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Fairbairn, JVÊ",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Spender, PC",26.1.1940,3.11.1939
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Perkins, JA",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Collett, Senator HB",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"Holt, HE",26.4.1939,14.3.1940
20,Menzies Ministry ,UAP,26.4.1939,14.3.1940,"McBride, Senator PAM",26.4.1939,14.3.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Menzies, RG",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Cameron, AG (CP)",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Hughes, WM",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Street, GA",14.3.1940,13.8.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"McBride, Senator PAM",14.8.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Gullett, HS",14.3.1940,13.8.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Collett, Senator HB",14.8.1940,13.8.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Stewart, FH",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Thorby, HVC (CP)",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Spender, PC",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"McLeay, Senator G",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"McEwen, J (CP)",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Foll, Senator HS",14.3.1940,28.10.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Fairbairn, JV",14.3.1940,13.8.1940
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Fadden, AW (CP)",14.8.1940,14.8.1940Ê
21,Menzies Ministry ,UAP-CP Coalition ,14.3.1940,28.10.1940,"Nock, HK (CP)",14.3.1940,28.10.1940
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Menzies, RG",28.10.1940,13.12.1940
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Foll, Senator HS",13.12.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Fadden, AW (CP)",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Hughes, WM",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Spender, PC",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"McLeay, Senator G",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Collett, Senator HB",26.6.1941,26.6.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Collins, TJ (CP)",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"McEwen, J (CP)",26.6.1941,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Page, ECG (CP)Ê",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Stewart, FH",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"McBride, Senator PAM",28.10.1940,26.6.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Harrison, EJ",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Holt, HE",28.10.1940,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Leckie, Senator JW",26.6.1941,26.6.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Anthony, HL (CP)",26.6.1941,26.6.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Spooner, ES",26.6.1941,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"Abbott, JP (CP)",26.6.1941,29.8.1941
22,Menzies Ministry,UAP-CP Coalition,28.10.1940,29.8.1941,"McDonald, AMcK",26.6.1941,29.8.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Fadden, AW (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Menzies, RG",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Hughes, WM",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Spender, PC",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"McLeay, Senator G",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"McEwen, J (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Foll, Senator HS",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Page, ECG (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Stewart, FH",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"McBride, Senator PAM",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Harrison, EJ",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Holt, HE",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Collett, Senator HB",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Collins, TJ (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Leckie, Senator JW",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Anthony, HL (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Spooner, ES",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"Abbott, JP (CP)",29.8.1941,7.10.1941
23,Fadden Ministry,CP-UAP Coalition,29.8.1941,7.10.1941,"McDonald, AMcK",29.8.1941,7.10.1941
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Curtin, J",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Forde, FM",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Chifley, JB",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Evatt, HV",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Beasley, JA",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Collings, Senator JS",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Makin, NJO",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Holloway, EJ",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Keane, Senator RV",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Drakeford, AS",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Scully, WJ",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Ashley, Senator WP",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Ward, EJ",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Frost, CW",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Dedman, JJ",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Lazzarini, HP",7.10.1941,21.9.1943
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Fraser, Senator JM",7.10.1941,17.10.1942
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Cameron, Senator D",7.10.1941,21.2.1942
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,"Lawson, G",7.10.1941,21.9.1943
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Curtin, J",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Forde, FM",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Chifley, JB",21.9.1943,2.2.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Dedman, JJ",2.2.1945,19.2.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Evatt, HV",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Beasley, JA",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Ashley, Senator WP",2.2.1945,2.2.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Makin, NJO",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Keane, Senator RV",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Holloway, EJ",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Drakeford, AS",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Scully, WJ",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Cameron, Senator D",2.2.1945,2.2.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Collings, Senator JS",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Ward, EJ",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Fraser, Senator JM",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Frost, CW",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Lazzarini, HP",21.9.1943,6.7.1945
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,"Calwell, AA",21.9.1943,6.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Forde, FM",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Chifley, JB",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Evatt, HV",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Beasley, JA",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Makin, NJO",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Keane, Senator RV",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Holloway, EJ",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Drakeford, AS",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Scully, WJ",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Ashley, Senator WP",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Dedman, JJ",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Collings, Senator JS",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Ward, EJ",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Fraser, Senator JM",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Frost, CW",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Lazzarini, HP",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Cameron, Senator D",6.7.1945,13.7.1945
26,Forde Ministry,ALP,6.7.1945,13.7.1945,"Calwell, AA",6.7.1945,13.7.1945
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Chifley, JB",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Forde, FM",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Evatt, HV",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Beasley, JA",13.7.1945,14.8.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Makin, NJO",13.7.1945,15.8.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Drakeford, AS",15.8.1946,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Dedman, JJ",15.8.1946,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Keane, Senator RV",13.7.1945,26.4.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Fraser, Senator JM",18.6.1946,18.6.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Holloway, EJ",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Scully, WJ",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Ashley, Senator WP",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Collings, Senator JS",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Ward, EJ",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"McKenna, Senator NE",18.6.1946,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Frost, CW",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Lazzarini, HP",13.7.1945,1.2.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Cameron, Senator D",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Calwell, AA",13.7.1945,1.11.1946
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,"Johnson, HV",13.7.1945,1.11.1946
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Chifley, JB",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Evatt, HV",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Holloway, EJ",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Drakeford, AS",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Scully, WJ",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Ashley, Senator WP",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Dedman, JJ",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Ward, EJ",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Cameron, Senator D",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Calwell, AA",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Johnson, HV",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"McKenna, Senator NE",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Pollard, RT",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Lemmon, N",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Armstrong, Senator JI",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Chambers, C",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Courtice, Senator B",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Riordan, WJF",1.11.1946,19.12.1949
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,"Barnard, HC",1.11.1946,19.12.1949
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Menzies, RG",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Fadden, AW (CP)",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Harrison, EJ",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"McBride, PAM",24.10.1950,24.10.1950
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Holt, HE",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"McEwen, J (CP)",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Spender, PC",19.12.1949,26.4.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Casey, RG",27.4.1951,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Beale, OH",17.3.1950,17.3.1950
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Page, ECG (CP)",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"O'Sullivan, Senator N",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"McLeay, Senator G",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"White, TW",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Anthony, HL (CP)",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Francis, J",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Spicer, Senator JA",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Lyons, EM",19.12.1949,7.3.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Spooner, Senator WH",19.12.1949,11.5.1951
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,"Cooper, Senator WJ (CP)",19.12.1949,11.5.1951
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Menzies, RG",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Fadden, AW (CP)",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Harrison, EJ",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Holt, HE",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"McEwen, J (CP)",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Casey, RG",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"McBride, PAM",11.5.1951,17.7.1951
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"McMahon, W",17.7.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Francis, J",9.7.1954,7.11.1955
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Townley, AG",9.7.1954,9.7.1954
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Page, ECG (CP)",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"O'Sullivan, Senator N",11.5.1951,7.11.1955
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"McLeay, Senator G",11.5.1951,14.9.1955
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Spicer, Senator JA",14.9.1955,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Paltridge, Senator SD",27.9.1955,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Anthony, HL (CP)",11.5.1951,9.7.1954
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Spooner, Senator WH",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Cooper, Senator WJ (CP)",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Beale, OH",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Kent Hughes, WS",11.5.1951,11.1.1956
30,Menzies Ministry,LIB-CP Coalition,11.5.1951,11.1.1956,"Hasluck, PMC",11.5.1951,11.1.1956
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Menzies, the Rt Hon. Robert Gordon, CH, QC",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Fadden, the Rt Hon. Sir Arthur William, KCMG",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Harrison, the Rt Hon. Sir Eric John, KCVO ",11.1.1956,24.10.1956
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Holt, the Rt Hon. Harold Edward",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"McEwen, the Rt Hon. John",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Casey, the Rt Hon. Richard Gardiner, CH, DSO, MC",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"McBride, the Hon. Sir Philip Albert Martin, KCMG",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"O'Sullivan, Senator the Hon. Neil",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Spicer, Senator the Hon. John Armstrong, QC ",11.1.1956,14.8.1956
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Spooner, Senator the Hon. William Henry, MM",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Townley, the Hon. Athol Gordon",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Hasluck, the Hon. Paul Meernaa Caedwalla",11.1.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Beale, the Hon. Howard, QC ",24.10.1956 ,10.2.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"McMahon, the Hon. William ",18.10.1956,10.12.1958
31,Menzies Ministry ,(LIB-CP Coalition) ,11.1.1956,10.12.1958,"Paltridge, Senator the Hon. Shane Dunne ",11.2.1958,10.12.1958
32,Menzies Ministry ,(LIB-CP Coalition) ,10.12.1958,18.12.1963,"Menzies, the Rt Hon. Sir Robert Gordon, KT, CH, QC",10.12.1958,18.12.1963
32,Menzies Ministry ,(LIB-CP Coalition) ,10.12.1958,18.12.1963,"McEwen, the Rt Hon. John",10.12.1958,18.12.1963
32,Menzies Ministry ,(LIB-CP Coalition) ,10.12.1958,18.12.1963,"Holt, the Rt Hon. Harold Edward",10.12.1958,18.12.1963
