number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,"McGregor, Senator G",13.11.1908,2.6.1909
6,Fisher Ministry ,ALP ,13.11.1908,2.6.1909,"Hutchison, J",13.11.1908,2.6.1909
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Deakin, A (PROT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Cook, J (FT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Forrest, J (PROT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Best, Senator RW (PROT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Groom, LE (PROT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Glynn, PMcM (FT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Quick, J (PROT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Fuller, GW (FT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Millen, Senator ED (FT)",2.6.1909,29.4.1910
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,"Foxton, JFG (FT)",2.6.1909,29.4.1910
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Fisher, A",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Hughes, WM",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Batchelor, EL",29.4.1910,8.10.1911
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Thomas, J",14.10.1911,14.10.1911
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Frazer, CE",14.10.1911,14.10.1911
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Pearce, Senator GF",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Tudor, FG",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"O'Malley, K",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"McGregor, Senator G",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Findley, Senator E",29.4.1910,24.6.1913
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,"Roberts, EA",23.10.1911,24.6.1913
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Cook, J",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Forrest, J",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Irvine, WH",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Millen, Senator ED",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Glynn, PMcM",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Groom, LE",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Wynne, A",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"McColl, Senator JH",24.6.1913,17.9.1914
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,"Clemons, Senator JS",24.6.1913,17.9.1914
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Fisher, A",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Hughes, WM",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Pearce, Senator GF",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Tudor, FG",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Arthur, JA",17.9.1914,9.12.1914
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Mahon, H",14.12.1914,14.12.1914
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Archibald, WO",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Spence, WG",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Gardiner, Senator A",17.9.1914,27.10.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Jensen, JA",12.7.1915,12.7.1915
10,Fisher Ministry ,ALP,17.9.1914,27.10.1915,"Russell, Senator EJ",17.9.1914,27.10.1915
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Hughes, WM",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Pearce, Senator GF",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Tudor, FG",27.10.1915,14.9.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Mahon, H",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Jensen, JA",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Higgs, WG",27.10.1915,27.10.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"O'Malley, K",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Webster, W",27.10.1915,14.11.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Gardiner, Senator A",27.10.1915,27.10.1916
11,Hughes Ministry ,ALP,27.10.1915,14.11.1916,"Russell, Senator EJ",27.10.1915,27.10.1916
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Hughes, WM",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Pearce, Senator GF",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Jensen, JA",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Webster, W",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Poynton, A",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Archibald, WO",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Bamford, FW",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Lynch, Senator PJ",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Spence, WG",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Russell, Senator EJ",14.11.1916,17.2.1917
12,Hughes Ministry ,National Labour ,14.11.1916,17.2.1917,"Smith, WHL",14.11.1916,17.2.1917
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Hughes, WM",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Cook, J",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Forrest, J",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Pearce, Senator GF",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Millen, Senator ED",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Groom, LE",16.11.1917,16.11.1917
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Watt, WA",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Glynn, PMcM",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Jensen, JA",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Webster, W",17.2.1917,10.1.1918
13,Hughes Ministry ,Nationalist ,17.2.1917,10.1.1918,"Russell, Senator EJ",17.2.1917,10.1.1918
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Hughes, WM",10.1.1918,9.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Groom, LE",21.12.1921,16.11.1917
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Cook, J",10.1.1918,11.11.1921
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Smith, WHL",28.7.1920,28.7.1920
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Forrest, J",10.1.1918,27.3.1918
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Watt, WA",27.3.1918,17.1.1919
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Bruce, SM",21.12.1921,9.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Pearce, Senator GF",10.1.1918,9.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Millen, Senator ED",10.1.1918,9.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Foster, RW",21.12.1921,9.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Glynn, PMcM",10.1.1918,3.2.1920
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Poynton, A",4.2.1920,4.2.1920
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Jensen, JA",10.1.1918,13.12.1918
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Massy-Greene, W",17.1.1919,5.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Rodgers, AS",21.12.1921,21.12.1921
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Webster, W",10.1.1918,3.2.1920
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Wise, GH",4.2.1920,4.2.1920
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Russell, Senator EJ",27.3.1918,17.1.1919
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Earle, Senator J",21.12.1921,5.2.1923
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Orchard, RB",27.3.1918,31.1.1919
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Ryrie, GdeL",4.2.1920,21.12.1921
14,Hughes Ministry ,Nationalist ,10.1.1918,9.2.1923,"Lamond, H",21.12.1921,9.2.1923
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Bruce, SM",9.2.1923,24.2.1928
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Page, ECG (CP)",9.2.1923,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Pearce, Senator GF",9.2.1923,22.10.1929
