number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
4,Reid-McLean Ministry ,Free Trade-Protectionist Coalition ,18.8.1904,5.7.1905,Minister,Postmaster-General,"Smith, S (FT)",18.8.1904,5.7.1905,,,
4,Reid-McLean Ministry ,Free Trade-Protectionist Coalition ,18.8.1904,5.7.1905,Minister,Vice-President of Executive Council,"Drake, Senator JG (PROT)",18.8.1904,5.7.1905,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Prime Minister,"Deakin, A",5.7.1905,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for External Affairs,"Deakin, A",5.7.1905,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Attorney-General,"Isaacs, IA",5.7.1905,12.10.1906,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Attorney-General,"Groom, LE",12.10.1906,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Trade and Customs,"Lyne, WJ",5.7.1905,30.7.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Trade and Customs,"Chapman, A",30.7.1907,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Treasurer,"Forrest, J",5.7.1905,30.7.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Treasurer,"Lyne, WJ",30.7.1907,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Postmaster-General,"Chapman, A",5.7.1905,30.7.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Postmaster-General,"Mauger, S",30.7.1907,13.11.1908,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Defence,"Playford, Senator T",5.7.1905,24.1.1907,,,
5,Deakin Ministry ,Protectionist ,5.7.1905,13.11.1908,Minister,Minister for Defence,"Ewing, TT",24.1.1907,13.11.1908,,,
