number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Post-war Reconstruction,"Chifley, JB",22.12.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Attorney-General,"Evatt, HV",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for External Affairs,"Evatt, HV",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Supply and Development,"Beasley, JA",7.10.1941,17.10.1942,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Supply and Shipping,"Beasley, JA",17.10.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for the Interior,"Collings, Senator JS",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for the Navy,"Makin, NJO",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Munitions,"Makin, NJO",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Social Services ,"Holloway, EJ",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Health,"Holloway, EJ",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Trade and Customs ,"Keane, Senator RV",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Vice-President of Executive Council,"Keane, Senator RV",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Air,"Drakeford, AS",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Civil Aviation,"Drakeford, AS",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Commerce,"Scully, WJ",7.10.1941,22.12.1942,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Commerce and Agriculture,"Scully, WJ",22.12.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Postmaster-General,"Ashley, Senator WP",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Information,"Ashley, Senator WP",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Labour and National Service,"Ward, EJ",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Repatriation,"Frost, CW",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister in Charge of War Service Homes,"Frost, CW",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for War Organisation of Industry,"Dedman, JJ",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister in Charge of the Council for Scientific and Industrial Research,"Dedman, JJ",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Home Security,"Lazzarini, HP",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for External Territories ,"Fraser, Senator JM",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Aircraft Production ,"Cameron, Senator D",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Minister,Minister for Transport,"Lawson, G",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for the Army,"Fraser, Senator JM",21.2.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Treasurer,"Lazzarini, HP",7.10.1941,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for Supply and Shipping,"Fraser, Senator JM",17.10.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for Munitions,"Cameron, Senator D",7.10.1941,21.2.1942,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for Munitions,"Holloway, EJ",21.2.1942,21.9.1943,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for Commerce,"Fraser, Senator JM",7.10.1941,17.10.1942,,,
24,Curtin Ministry,ALP,7.10.1941,21.9.1943,Assistant ministers/Parliamentary secretaries,Minister assisting the Postmaster-General,"Lawson, G",7.10.1941,21.9.1943,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Prime Minister,"Curtin, J",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Defence,"Curtin, J",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for the Army,"Forde, FM",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Treasurer,"Chifley, JB",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Post-war Reconstruction,"Chifley, JB",21.9.1943,2.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Post-war Reconstruction,"Dedman, JJ",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Attorney-General,"Evatt, HV",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for External Affairs,"Evatt, HV",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Supply and Shipping,"Beasley, JA",21.9.1943,2.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Supply and Shipping,"Ashley, Senator WP",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for the Navy,"Makin, NJO",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Munitions,"Makin, NJO",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Trade and Customs ,"Keane, Senator RV",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Labour and National Service,"Holloway, EJ",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Air,"Drakeford, AS",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Civil Aviation,"Drakeford, AS",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Commerce and Agriculture,"Scully, WJ",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Postmaster-General,"Ashley, Senator WP",21.9.1943,2.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Postmaster-General,"Cameron, Senator D",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Vice-President of Executive Council,"Ashley, Senator WP",21.9.1943,2.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Vice-President of Executive Council,"Beasley, JA",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for War Organisation of Industry,"Dedman, JJ",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister in Charge of the Council for Scientific and Industrial Research,"Dedman, JJ",21.9.1943,19.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for the Interior,"Collings, Senator JS",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Transport,"Ward, EJ",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for External Territories,"Ward, EJ",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Health ,"Fraser, Senator JM",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Social Services,"Fraser, Senator JM",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Repatriation,"Frost, CW",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister in Charge of War Service Homes,"Frost, CW",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Home Security,"Lazzarini, HP",21.9.1943,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Works,"Lazzarini, HP",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Aircraft Production,"Cameron, Senator D",21.9.1943,2.2.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Aircraft Production,"Makin, NJO",2.2.1945,6.7.1945,,,
25,Curtin Ministry,ALP,21.9.1943,6.7.1945,Minister,Minister for Information,"Calwell, AA",21.9.1943,6.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Prime Minister,"Forde, FM",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for the Army,"Forde, FM",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Treasurer,"Chifley, JB",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Attorney-General,"Evatt, HV",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for External Affairs,"Evatt, HV",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Defence,"Beasley, JA",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Vice-President of Executive Council,"Beasley, JA",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for the Navy,"Makin, NJO",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Munitions,"Makin, NJO",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Aircraft Production,"Makin, NJO",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Trade and Customs ,"Keane, Senator RV",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Labour and National Service,"Holloway, EJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Air,"Drakeford, AS",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Civil Aviation,"Drakeford, AS",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Commerce and Agriculture,"Scully, WJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Supply and Shipping ,"Ashley, Senator WP",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Post-war Reconstruction,"Dedman, JJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister in Charge of the Council for Scientific and Industrial Research,"Dedman, JJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for the Interior,"Collings, Senator JS",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Transport,"Ward, EJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for External Territories,"Ward, EJ",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Health ,"Fraser, Senator JM",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Social Services,"Fraser, Senator JM",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Repatriation,"Frost, CW",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister in Charge of War Service Homes,"Frost, CW",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Home Security,"Lazzarini, HP",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Works,"Lazzarini, HP",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Postmaster-General,"Cameron, Senator D",6.7.1945,13.7.1945,,,
26,Forde Ministry,ALP,6.7.1945,13.7.1945,Minister,Minister for Information,"Calwell, AA",6.7.1945,13.7.1945,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Prime Minister,"Chifley, JB",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Treasurer ,"Chifley, JB",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for the Army,"Forde, FM",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Attorney-General,"Evatt, HV",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for External Affairs,"Evatt, HV",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Defence,"Beasley, JA",13.7.1945,14.8.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Defence,"Forde, FM",15.8.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for the Navy,"Makin, NJO",13.7.1945,15.8.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for the Navy,"Drakeford, AS",15.8.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Munitions,"Makin, NJO",13.7.1945,15.8.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Munitions,"Dedman, JJ",15.8.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Aircraft Production,"Makin, NJO",13.7.1945,15.8.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Aircraft Production,"Dedman, JJ",15.8.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Trade and Customs,"Keane, Senator RV",13.7.1945,26.4.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Trade and Customs,"Dedman, JJ",29.4.1946,18.6.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Trade and Customs,"Fraser, Senator JM",18.6.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Labour and National Service,"Holloway, EJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Air,"Drakeford, AS",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Civil Aviation,"Drakeford, AS",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Commerce and Agriculture,"Scully, WJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Supply and Shipping ,"Ashley, Senator WP",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Post-war Reconstruction,"Dedman, JJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister in Charge of the Council for Scientific and Industrial Research,"Dedman, JJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Vice-President of Executive Council,"Collings, Senator JS",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Transport,"Ward, EJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for External Territories,"Ward, EJ",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Health,"Fraser, Senator JM",13.7.1945,18.6.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Health,"McKenna, Senator NE",18.6.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Social Services,"Fraser, Senator JM",13.7.1945,18.6.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Social Services,"McKenna, Senator NE",18.6.1946,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Repatriation,"Frost, CW",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Works and Housing,"Lazzarini, HP",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Home Security,"Lazzarini, HP",13.7.1945,1.2.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Postmaster-General,"Cameron, Senator D",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Immigration,"Calwell, AA",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for Information,"Calwell, AA",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Minister,Minister for the Interior,"Johnson, HV",13.7.1945,1.11.1946,,,
27,Chifley Ministry,ALP,13.7.1945,1.11.1946,Assistant ministers/Parliamentary secretaries,Minister assisting the Minister for Works and Housing,"Johnson, HV",13.7.1945,1.11.1946,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Prime Minister,"Chifley, JB",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Treasurer ,"Chifley, JB",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Attorney-General,"Evatt, HV",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for External Affairs,"Evatt, HV",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Labour and National Service,"Holloway, EJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Air,"Drakeford, AS",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Civil Aviation,"Drakeford, AS",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Vice-President of Executive Council,"Scully, WJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Supply and Shipping,"Ashley, Senator WP",1.11.1946,6.4.1948,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Shipping and Fuel,"Ashley, Senator WP",6.4.1948,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Defence ,"Dedman, JJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Post-war Reconstruction,"Dedman, JJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister in Charge of the Council for Scientific and Industrial Research,"Dedman, JJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Transport,"Ward, EJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for External Territories,"Ward, EJ",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Postmaster-General,"Cameron, Senator D",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Immigration,"Calwell, AA",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Information,"Calwell, AA",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for the Interior,"Johnson, HV",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Health,"McKenna, Senator NE",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Social Services,"McKenna, Senator NE",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Commerce and Agriculture,"Pollard, RT",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Works and Housing,"Lemmon, N",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Munitions ,"Armstrong, Senator JI",1.11.1946,6.4.1948,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Supply and Development,"Armstrong, Senator JI",6.4.1948,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for the Army,"Chambers, C",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Trade and Customs ,"Courtice, Senator B",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for the Navy,"Riordan, WJF",1.11.1946,19.12.1949,,,
28,Chifley Ministry,ALP,1.11.1946,19.12.1949,Minister,Minister for Repatriation,"Barnard, HC",1.11.1946,19.12.1949,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Prime Minister,"Menzies, RG",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Treasurer,"Fadden, AW (CP)",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Defence ,"Harrison, EJ",19.12.1949,24.10.1950,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Defence ,"McBride, PAM",24.10.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Post-war Reconstruction,"Harrison, EJ",19.12.1949,17.3.1950,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Labour and National Service,"Holt, HE",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Immigration,"Holt, HE",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Commerce and Agriculture,"McEwen, J (CP)",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for External Affairs,"Spender, PC",19.12.1949,26.4.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for External Affairs,"Casey, RG",27.4.1951,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for External Territories,"Spender, PC",19.12.1949,26.4.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for External Territories,"Casey, RG",27.4.1951,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Works and Housing,"Casey, RG",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Supply and Development,"Casey, RG",19.12.1949,17.3.1950,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for National Development,"Casey, RG",17.3.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister in charge of Commonwealth Scientific and Industrial Research,"Casey, RG",23.3.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Supply,"Beale, OH",17.3.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for the Interior,"McBride, PAM",19.12.1949,24.10.1950,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for the Interior,"Harrison, EJ",24.10.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Health,"Page, ECG (CP)",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Trade and Customs ,"O'Sullivan, Senator N",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Shipping and Fuel ,"McLeay, Senator G",19.12.1949,17.3.1950,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,"Minister for Fuel, Shipping and Transport","McLeay, Senator G",17.3.1950,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Air,"White, TW",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for Civil Aviation,"White, TW",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Postmaster-General,"Anthony, HL (CP)",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for the Army,"Francis, J",19.12.1949,11.5.1951,,,
29,Menzies Ministry,LIB-CP Coalition,19.12.1949,11.5.1951,Minister,Minister for the Navy,"Francis, J",19.12.1949,11.5.1951,,,
