uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
CameronDouglas1951,NSW,2008-07-01,2019-06-30,Retired,0,NA
Campbell1943,NSW,1997-09-17,2008-06-30,Retired,1,NA
Campbell1959,WA,1990-05-16,2007-05-31,Resigned,1,NA
Canavan1980,QLD,2014-07-01,NA,NA,0,NA
Cant1907,WA,1959-07-01,1974-04-11,Retired,0,NA
Carr1947,NSW,2012-03-06,2013-10-24,Resigned,0,NA
Carr1955,VIC,1993-04-28,NA,NA,1,NA
Carrick1918,NSW,1971-07-01,1987-06-05,Retired,0,NA
Carroll1872,WA,1926-07-01,1936-05-30,Died,0,NA
Cash1970,WA,2008-07-01,NA,NA,0,NA
Cavanagh1913,SA,1962-07-01,1981-06-30,Retired,0,NA
Chamarette1948,WA,1992-03-12,1996-06-30,Defeated,1,NA
Chamberlain1884,TAS,1951-04-28,1953-01-16,Died,0,NA
Chandler1990,TAS,2019-07-01,NA,NA,0,NA
Chaney1941,WA,1974-05-18,1990-02-27,Resigned,0,NA
Chapman1879,SA,1926-07-01,1931-03-14,Died,0,NA
Chapman1949,SA,1987-07-11,2008-06-30,Defeated,0,NA
Charleston1848,SA,1901-03-30,1903-12-31,Defeated,0,NA
Chataway1864,QLD,1907-01-01,1913-06-30,Defeated,0,NA
Cherry1965,QLD,2001-07-31,2005-06-30,Defeated,1,NA
Childs1934,NSW,1981-07-01,1997-09-10,Resigned,0,NA
Chipp1925,VIC,1978-07-01,1986-08-18,Resigned,0,NA
Chisholm1978,QLD,2016-07-02,NA,NA,0,NA
Ciccone1983,VIC,2019-03-06,NA,NA,0,NA
Clemons1862,TAS,1901-03-29,1914-09-05,Defeated,0,NA
Clothier1877,WA,1938-07-01,1950-06-30,Defeated,0,NA
Coates1944,TAS,1981-07-01,1996-08-20,Resigned,0,NA
Cohen1918,VIC,1962-07-01,1969-10-07,Died,0,NA
Colbeck1958,TAS,2002-02-04,2016-07-02,Defeated,1,NA
Colbeck1958,TAS,2018-02-09,NA,NA,0,NA
Cole1908,TAS,1949-12-10,1965-06-30,Defeated,0,NA
Colebatch1872,WA,1929-07-01,1933-03-20,Resigned,0,NA
Coleman1931,WA,1974-05-18,1987-06-05,Retired,0,NA
Collard1936,QLD,1975-12-13,1987-06-05,Retired,0,NA
Collett1877,WA,1933-04-06,1947-06-30,Defeated,1,NA
Collings1865,QLD,1932-07-01,1950-06-30,Retired,0,NA
Collins1946,NT,1987-07-11,1998-03-30,Resigned,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Collins1962,VIC,1995-05-03,2005-06-30,Defeated,1,NA
Collins1962,VIC,2008-05-08,2019-02-15,Resigned,1,NA
Colston1938,QLD,1975-12-13,1999-06-30,Retired,0,NA
Conroy1963,VIC,1996-04-30,2016-09-30,Resigned,1,NA
Cook1943,WA,1983-03-05,2005-06-30,Retired,0,NA
Cooke1904,WA,1947-07-01,1951-03-19,Defeated,0,NA
Cooke1904,WA,1952-02-07,1965-06-30,Defeated,1,NA
Coonan1947,NSW,1996-07-01,2011-08-22,Resigned,0,NA
Cooney1934,VIC,1984-12-01,2002-06-30,Retired,0,NA
Cooper1888,QLD,1928-11-17,1932-06-30,Defeated,0,NA
Cooper1888,QLD,1935-07-01,1968-06-30,Retired,0,NA
Cormack1906,VIC,1951-04-28,1953-06-30,Defeated,0,NA
Cormack1906,VIC,1962-07-01,1978-06-30,Retired,0,NA
Cormann1970,WA,2007-06-19,NA,Resigned,1,NA
Cotton1915,NSW,1965-08-04,1978-07-13,Resigned,1,NA
Coulter1930,SA,1987-07-11,1995-11-20,Resigned,0,NA
Courtenay1879,NSW,1935-07-01,1935-07-11,Died,0,Not sworn in.
Courtice1885,QLD,1937-09-02,1962-06-30,Retired,1,NA
Cox1863,NSW,1920-07-01,1938-06-30,Retired,0,NA
Cox1977,WA,2021-10-19,NA,NA,1,Replaced Rachel Siewert
Crane1941,WA,1990-07-01,2002-06-30,Defeated,0,NA
Crawford1865,QLD,1917-07-01,1947-06-30,Retired,0,NA
CrichtonBrowne1944,WA,1981-07-01,1996-06-30,Retired,0,NA
Critchley1892,SA,1947-07-01,1959-06-30,Retired,0,NA
Croft1871,WA,1904-01-01,1910-06-30,Retired,0,NA
Crossin1956,NT,1998-06-16,2013-09-06,Retired,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Crowley1938,SA,1983-03-05,2002-06-30,Retired,0,NA
Culleton1964,WA,2016-07-02,2017-01-11,Bankrupt,0,Disqualified under section 44 of the Constitution 11.1.2017; election ruled void 3.2.2017.
Cunningham1879,WA,1937-10-23,1943-07-04,Died,0,NA
Daly1891,SA,1928-11-17,1935-06-30,Retired,0,NA
Darcey1870,TAS,1938-07-01,1944-06-30,Defeated,0,NA
Dastyari1983,NSW,2013-08-21,2018-01-25,Resigned,1,NA
Davey1972,NSW,2019-07-01,NA,NA,0,NA
Davidson1915,SA,1961-09-28,1961-12-08,Term Expired,1,NA
Davidson1915,SA,1962-02-08,1962-06-30,Retired,1,NA
Davidson1915,SA,1965-07-01,1981-06-30,Retired,0,NA
Dawson1863,QLD,1901-03-30,1906-12-31,Defeated,0,NA
Day1952,SA,2014-07-01,2016-11-01,Resigned,0,NA
Dein1889,NSW,1935-07-01,1941-06-30,Defeated,0,NA
deLargie1859,WA,1901-03-29,1923-06-30,Defeated,0,NA
Denman1937,TAS,1993-08-24,2005-06-30,Retired,1,NA
Devereux1946,TAS,1987-07-11,1996-02-07,Resigned,0,NA
Devitt1921,TAS,1965-07-01,1978-06-30,Retired,0,NA
Devlin1898,VIC,1946-09-28,1957-05-26,Died,0,NA
Devlin1926,TAS,1984-12-01,1990-06-30,Retired,0,NA
DiNatale1970,VIC,2011-07-01,2020-08-26,Resigned,0,NA
DiNatale1970,VIC,2015-05-05,2020-02-03,Resigned,NA,NA
Dittmer1904,QLD,1959-07-01,1971-06-30,Retired,0,NA
Dobson1841,TAS,1901-03-29,1910-06-30,Defeated,0,NA
Dodson1948,WA,2016-04-28,NA,NA,1,NA
Dooley1884,NSW,1928-11-17,1935-06-30,Defeated,0,NA
Downer1843,SA,1901-03-30,1903-12-31,Retired,0,NA
Drake1850,QLD,1901-03-30,1906-12-31,Retired,0,NA
DrakeBrockman1884,WA,1920-07-01,1926-06-30,Retired,0,NA
DrakeBrockman1919,WA,1958-08-12,1958-11-21,Term Expired,1,NA
DrakeBrockman1919,WA,1959-07-01,1978-06-30,Retired,0,NA
Drury1912,SA,1959-07-01,1975-11-11,Defeated,0,NA
Duncan1883,NSW,1920-07-01,1931-12-01,Resigned,0,NA
DuncanHughes1882,SA,1931-12-19,1938-06-30,Retired,0,NA
Duniam1982,TAS,2016-07-02,NA,NA,0,NA
Dunn1887,NSW,1929-07-01,1935-06-30,Defeated,0,NA
Dunn1948,NSW,1988-07-21,1990-06-30,Defeated,0,Declared elected by the High Court of Australia.
Durack1926,WA,1971-07-01,1993-06-30,Retired,0,NA
Earle1865,TAS,1917-03-01,1923-06-30,Defeated,1,NA
Edwards1962,SA,2011-07-01,2016-07-02,NA,0,NA
Eggleston1941,WA,1996-07-01,2014-06-30,Retired,0,NA
Elliott1878,VIC,1920-07-01,1931-03-23,Died,0,NA
Elliott1884,VIC,1929-07-01,1935-06-30,Defeated,0,NA
Ellison1954,WA,1993-07-01,2009-01-30,Resigned,0,NA
Elstob1924,SA,1978-07-01,1987-06-05,Retired,0,NA
Evans1928,WA,1983-03-05,1985-06-30,Defeated,0,NA
Evans1944,VIC,1978-07-01,1996-02-06,Resigned,0,NA
Evans1958,WA,1993-07-01,2013-04-12,Resigned,0,NA
Everett1917,TAS,1974-05-18,1975-11-11,Defeated,0,NA
Ewing1870,WA,1901-03-29,1903-04-17,Resigned,0,NA
Fairbairn1855,VIC,1917-07-01,1923-06-30,Retired,0,NA
Farrell1954,SA,2008-07-01,2014-06-30,Defeated,0,NA
Farrell1954,SA,2016-07-02,NA,NA,0,NA
Faruqi1963,NSW,2018-08-15,NA,NA,0,NA
Faulkner1954,NSW,1989-04-04,2015-02-05,Resigned,1,NA
Fawcett1963,SA,2011-07-01,NA,NA,0,NA
Feeney1970,VIC,2008-07-01,2013-08-12,Resigned,0,NA
Ferguson1830,QLD,1901-03-30,1903-10-06,NA,0,Seat declared vacant owing to absence without leave for two months.
Ferguson1943,SA,1992-05-26,2011-06-30,Retired,1,NA
Ferricks1875,QLD,1913-07-01,1920-06-30,Defeated,0,NA
Ferris1941,SA,1996-07-01,1996-07-12,Resigned,0,NA
Ferris1941,SA,1996-07-24,2007-04-02,Died,1,NA
Field1910,QLD,1975-09-03,1975-11-11,Defeated,1,NA
Fielding1960,VIC,2005-07-01,2011-06-30,Defeated,0,NA
FierravantiWells1960,NSW,2005-05-05,NA,NA,1,NA
Fifield1967,VIC,2004-03-31,2019-08-16,NA,1,NA
Findley1864,VIC,1904-01-01,1917-06-30,Defeated,0,NA
